HOST	NAME	DATATYPE	ADDRESS	COMMENT	TAGLINK	RW	POU
	start_hmi	BOOL			TRUE	RW	
	stop_hmi	BOOL			TRUE	RW	
	dong_co	BOOL	BuiltInIO://cpu/#0/Output_Bit_00		TRUE	RW	
	ID5442_IN_0	BOOL	ECAT://node#[86,4]/Input Bit 16 bits/Input Bit 00		TRUE	RW	
	ID5442_IN_1	BOOL	ECAT://node#[86,4]/Input Bit 16 bits/Input Bit 01		TRUE	RW	
	ID5442_IN_2	BOOL	ECAT://node#[86,4]/Input Bit 16 bits/Input Bit 02		TRUE	RW	
	ID5442_IN_3	BOOL	ECAT://node#[86,4]/Input Bit 16 bits/Input Bit 03		TRUE	RW	
	ID5442_IN_4	BOOL	ECAT://node#[86,4]/Input Bit 16 bits/Input Bit 04		TRUE	RW	
	ID5442_IN_5	BOOL	ECAT://node#[86,4]/Input Bit 16 bits/Input Bit 05		TRUE	RW	
	ID5442_IN_6	BOOL	ECAT://node#[86,4]/Input Bit 16 bits/Input Bit 06		TRUE	RW	
	ID5442_IN_7	BOOL	ECAT://node#[86,4]/Input Bit 16 bits/Input Bit 07		TRUE	RW	
	ID5442_IN_8	BOOL	ECAT://node#[86,4]/Input Bit 16 bits/Input Bit 08		TRUE	RW	
	ID5442_IN_9	BOOL	ECAT://node#[86,4]/Input Bit 16 bits/Input Bit 09		TRUE	RW	
	ID5442_IN_10	BOOL	ECAT://node#[86,4]/Input Bit 16 bits/Input Bit 10		TRUE	RW	
	ID5442_IN_11	BOOL	ECAT://node#[86,4]/Input Bit 16 bits/Input Bit 11		TRUE	RW	
	ID5442_IN_12	BOOL	ECAT://node#[86,4]/Input Bit 16 bits/Input Bit 12		TRUE	RW	
	ID5442_IN_13	BOOL	ECAT://node#[86,4]/Input Bit 16 bits/Input Bit 13		TRUE	RW	
	ID5442_IN_14	BOOL	ECAT://node#[86,4]/Input Bit 16 bits/Input Bit 14		TRUE	RW	
	ID5442_IN_15	BOOL	ECAT://node#[86,4]/Input Bit 16 bits/Input Bit 15		TRUE	RW	
